isInterpolated,useMicroData,CountryCode,CountryName,RegionCode,CoverageType,RequestYear,DataYear,DataType,PPP,PovertyLine,Mean,HeadCount,PovGap,PovGapSqr,Watts,Gini,Median,pr.mld,Polarization,ReqYearPopulation,SvyInfoID,Decile1,Decile2,Decile3,Decile4,Decile5,Decile6,Decile7,Decile8,Decile9,Decile10
0,1,ISL,Iceland,OHI,N,2013,2013,Y,138.895,1.9,1446.999,0,0,0,0,0.2540178,1296.695,0.1090124,-1,0.323764,ISL_N2013Y,0.04135,0.05731,0.06745,0.07636,0.08512,0.09399,0.1053,0.1198,0.1403,0.2131
0,1,IND,India,SAS,A,2013,2011.5,X,14.97516,1.9,121.2439,0.1645838,0.0307441,0.008768347,0.03675162,-1,-1,-1,-1,1278.562207,IND_R2011X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,IND,India,SAS,R,2013,2011.5,X,14.97516,1.9,103.6575,0.192934,0.03618349,0.01040541,0.0433378,0.3112752,83.92653,0.1633227,-1,869.4990145,IND_R2011X,0.03948,0.05188,0.06051,0.06851,0.07636,0.08599,0.09762,0.1135,0.1396,0.2665
0,1,IND,India,SAS,U,2013,2011.5,X,14.97516,1.9,158.6255,0.1043231,0.0191822,0.005288619,0.02275213,0.3901443,116.2302,0.2502741,-1,409.0631925,IND_U2011X,0.02946,0.04078,0.04968,0.05838,0.06803,0.07951,0.0936,0.1138,0.1485,0.3183
0,1,IDN,Indonesia,EAP,A,2013,2013,X,4091.939,1.9,159.1873,0.09834943,0.01496151,0.003694864,0.01736396,-1,-1,-1,-1,252.032263,IDN_R2013X,0,0,0,0,0,0,0,0,0,0
0,1,IDN,Indonesia,EAP,R,2013,2013,X,4091.939,1.9,126.0997,0.1082122,0.01630551,0.004000895,0.01889783,0.3204986,100.9397,0.1664182,-1,120.3403649,IDN_R2013X,0.03839,0.04928,0.05719,0.06548,0.07482,0.08594,0.09999,0.1189,0.1486,0.2614
0,1,IDN,Indonesia,EAP,U,2013,2013,X,4091.939,1.9,189.4227,0.0893368,0.01373335,0.003415213,0.01596231,0.4310654,126.5123,0.3048463,-1,131.6918981,IDN_U2013X,0.02637,0.03499,0.04206,0.05056,0.06108,0.07408,0.09269,0.1204,0.1645,0.3332
0,1,IRN,"Iran, Islamic Republic of",MNA,N,2013,2013,X,5001.363,1.9,504.6427,0.001123345,0.000215249,7.05E-05,0.00027819,0.3735942,387.7272,0.2321242,-1,77.435384,IRN_N2013X,0.02712,0.04082,0.05084,0.06063,0.07105,0.08355,0.09939,0.1204,0.1565,0.2897
0,1,IRQ,Iraq,MNA,N,2013,2012,X,1003.799,1.9,184.3388,0.02069357,0.003116829,0.000769713,0.003613086,0.2954186,156.8274,0.142462,-1,33.883145,IRQ_N2012X,0.03679,0.05118,0.06097,0.07029,0.08005,0.09065,0.1036,0.1214,0.1481,0.237
0,1,IRL,Ireland,OHI,N,2013,2013,Y,0.9517142,1.9,1305.276,0.007482848,0.004722875,0.004290245,0.005215176,0.333924,1086.372,0.213614,-1,4.598294,IRL_N2013Y,0.02826,0.04534,0.05715,0.06786,0.07831,0.08838,0.1017,0.1209,0.1524,0.2597
